gene	Counts
AADACL3	0
AADACL4	0
ABCD3	1
ACADM	0
ACKR1	0
ACOT11	0
ACTG1P4	0
ACTL8	172
ACTN2	0
ACTRT2	0
ADAM15	0
ADAMTSL4	0
ADCK3	0
ADORA1	0
ADPRHL2	0
AGL	0
AGO1	0
AGO3	0
AGO4	0
AGRN	0
AGTRAP	0
AHCYL1	2
AJAP1	0
AK4	2
AK5	0
AKIRIN1	5
AKR1A1	0
AKR7A2P1	0
ALG6	0
ALPL	0
AMPD2	1
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	0
ANGPTL3	0
ANGPTL7	0
ANKRD34A	0
ANKRD35	0
ANXA9	0
AP4B1-AS1	0
APCS	0
APITD1	5
APITD1-CORT	8
APOA1BP	0
AQP10	0
ARF1	17
ARHGEF10L	0
ARHGEF16	1
ARID1A	20
ARTN	0
ARV1	0
ASH1L-AS1	0
ATAD3A	0
ATAD3B	0
ATAD3C	2
ATF3	0
ATF6	4
ATG4C	1
ATP1A1	22
ATP1A2	0
ATP1A4	0
ATP1B1	9
ATP2B4	12
ATP5F1	1
ATP6V0B	0
ATP8B2	0
ATPIF1	0
ATXN7L2	1
AVPR1B	0
AXDND1	0
AZIN2	1
B3GALT6	0
B4GALT2	0
BCAN	0
BCL9	2
BECN1P1	0
BGLAP	0
BLZF1	0
BMP8A	0
BNIPL	0
BOLA1	1
BRDT	6
BRINP2	0
BROX	0
BSND	0
BTBD19	0
BTBD8	0
BTF3L4	1
BTG2	0
C1QA	0
C1QB	0
C1QC	0
C1orf100	0
C1orf101	0
C1orf105	0
C1orf106	0
C1orf112	1
C1orf115	0
C1orf122	0
C1orf137	0
C1orf146	0
C1orf158	0
C1orf162	0
C1orf167	0
C1orf177	0
C1orf185	0
C1orf21	1
C1orf213	0
C1orf220	0
C1orf226	4
C1orf228	0
C1orf27	0
C1orf50	0
C1orf53	0
C1orf54	0
C1orf56	0
C1orf64	0
C1orf68	0
C1orf94	0
C1orf95	0
C4BPA	0
C4BPB	0
C8A	0
CA14	1
CA6	0
CACHD1	0
CACNA1E	0
CACYBP	6
CADM3	0
CALML6	0
CAMK1G	0
CAMSAP2	1
CAMTA1	2
CAP1	5
CAPN2	0
CAPN9	0
CAPZA1	4
CASQ1	0
CATSPER4	0
CCDC18	2
CCDC185	0
CCDC24	0
CCDC27	5
CCDC28B	0
CCDC30	0
CD101	0
CD1A	0
CD1C	0
CD1D	0
CD1E	0
CD2	0
CD46	0
CD52	0
CD53	0
CD55	6
CDA	1
CDC14A	0
CDC20	6
CDC42	4
CDC7	6
CDC73	0
CDCA8	17
CDK18	0
CDKN2C	0
CELA2A	0
CELA2B	0
CELA3A	0
CELA3B	0
CELSR2	0
CENPF	0
CEP350	4
CEP85	9
CEPT1	0
CFH	0
CFHR1	0
CFHR2	0
CFHR3	0
CFHR4	0
CFHR5	0
CGN	2
CHD1L	0
CHI3L2	0
CHIA	0
CHIAP2	0
CHRM3	0
CHRNB2	0
CHTOP	5
CIART	2
CKS1B	28
CLCA1	0
CLCA2	0
CLCA3P	0
CLCA4	0
CLCN6	0
CLCNKA	0
CLCNKB	0
CLIC4	2
CMPK1	0
CNIH3	0
CNIH4	0
CNKSR1	0
CNST	2
CNTN2	0
COA6	0
COG2	1
CORT	0
COX20	0
CPT2	0
CPTP	0
CR1	0
CR1L	0
CR2	3
CRB1	0
CRCT1	0
CREB3L4	0
CROCC	0
CSF1	0
CSMD2-AS1	0
CTH	0
CTPS1	0
CTRC	0
CTSE	0
CTTNBP2NL	13
CYB561D1	0
CYCSP52	0
CYMP	0
CYP4A22	0
CYP4B1	0
CYP4X1	0
CYP4Z1	0
CYR61	0
DAB1-AS1	0
DAP3	3
DARS2	1
DCAF6	4
DCDC2B	1
DCLRE1B	3
DCST1	0
DDI2	0
DDR2	0
DDX11L1	0
DDX20	4
DEGS1	0
DEPDC1-AS1	0
DESI2	1
DFFB	0
DHDDS	1
DHX9	0
DIEXF	1
DIO1	0
DISC1	0
DISP1	3
DLEU2L	0
DMAP1	0
DMBX1	0
DMRTB1	3
DNAH14	0
DNAJA1P5	0
DNAJB4	1
DNAJC16	1
DNAJC6	0
DNALI1	0
DNASE2B	0
DNM3	0
DPH2	0
DPYD-AS1	0
DPYD-AS2	0
DR1	3
DRAXIN	0
DRD5P2	0
DTL	24
DUSP12	0
DUSP23	0
DUSP27	0
DUSP5P1	0
DYRK3	0
ECM1	0
EDARADD	0
EFCAB14-AS1	0
EFCAB2	0
EFCAB7	0
EFHD2	0
EFNA1	0
EFNA3	1
EFNA4	1
EIF3I	1
ELAVL4	0
ELF3	0
EMBP1	0
ENO1-AS1	0
EPB41	1
EPHA8	0
EPHB2	0
EPHX1	0
EPHX4	0
ERICH3-AS1	0
ERMAP	0
ESPN	0
EXO1	3
EXO5	7
EXTL1	0
FAAH	0
FAAHP1	0
FAM102B	0
FAM110D	0
FAM159A	0
FAM163A	0
FAM167B	0
FAM177B	0
FAM183A	0
FAM19A3	0
FAM20B	1
FAM212B-AS1	0
FAM213B	0
FAM231A	0
FAM231D	0
FAM43B	0
FAM46C	166
FAM71A	0
FAM72A	0
FAM72B	0
FAM72C	0
FAM73A	1
FAM76A	9
FAM87B	0
FASLG	0
FBLIM1	0
FBXO28	4
FBXO44	0
FBXO6	0
FCER1A	0
FCER1G	0
FCGR1A	0
FCGR1C	0
FCGR2A	0
FCGR2B	0
FCGR2C	0
FCRL6	0
FCRLA	0
FCRLB	0
FDPS	0
FGGY	0
FHAD1	0
FLAD1	0
FLG-AS1	0
FLJ23867	0
FLJ31662	0
FLVCR1	0
FMN2	1
FMO1	0
FMO2	9
FMO3	1
FMO4	0
FMO6P	0
FMO9P	0
FNBP1L	3
FNDC7	0
FOXD2	0
FOXD3	0
FOXE3	0
FOXO6	0
FPGT	0
FPGT-TNNI3K	0
G0S2	0
GABPB2	0
GABRD	0
GADD45A	0
GALNT2	0
GAS5-AS1	0
GBP1P1	0
GBP6	0
GCSAML	0
GGPS1	2
GIPC2	0
GJA4	0
GJA8	0
GJB3	0
GJB4	0
GJB5	0
GJC2	0
GM140	0
GMEB1	1
GNAI3	1
GNG12-AS1	0
GNPAT	0
GORAB	0
GPR137B	3
GPR25	0
GPR3	0
GPR37L1	0
GPR52	0
GPR61	0
GPR88	0
GPR89B	0
GPSM2	1
GPX7	0
GRHL3	0
GSTM1	0
GSTM2	0
GSTM4	0
GSTM5	0
GUCA2B	0
GUK1	0
H3F3A	0
H3F3AP4	0
H6PD	1
HAO2	0
HAO2-IT1	0
HAPLN2	0
HAX1	0
HCN3	0
HCRTR1	0
HDAC1	0
HES3	0
HFE2	0
HHAT	3
HHLA3	0
HIAT1	13
HIPK1	0
HIST2H2AA3	0
HIST2H2AA4	0
HIST2H2AC	0
HIST2H2BA	0
HIST2H3A	0
HIST2H3C	0
HIST2H4A	0
HIST2H4B	0
HIST3H2BB	0
HLX	0
HMCN1	6
HMGB4	0
HMGN2	3
HOOK1	1
HPCA	0
HPDL	0
HS2ST1	0
HSD11B1	0
HSD17B7	0
HSD3B1	0
HSD3B2	0
HSD3BP4	0
HSPA6	0
HSPA7	0
HTR6	0
IARS2	0
IBA57	0
IER5	0
IFI16	0
IFI44	0
IFI44L	0
IGFN1	0
IGSF21	0
IKBKE	1
IL12RB2	0
IL19	0
IL20	0
IL23R	10
IL24	0
IL6R	0
INADL	1
INTS3	1
IPO13	0
IPO9	3
IQCC	0
ISG15	0
ITGA10	1
IVL	0
KAZN	0
KCNAB2	0
KCNC4	4
KCNJ9	0
KCNK1	0
KCNK2	0
KCNQ4	0
KCTD3	0
KDM1A	2
KDM4A	9
KHDRBS1	7
KIAA0754	0
KIAA1107	1
KIAA1324	0
KIAA1522	0
KIAA1614	0
KIAA1804	0
KIF1B	2
KIF26B	7
KIF2C	11
KIRREL	0
KLF17	0
KLHDC7A	0
KLHDC9	0
KLHL17	0
KLHL20	8
KMO	0
KPNA6	19
KPRP	0
L1TD1	0
LAMC1	1
LAMC2	0
LAMTOR2	0
LAMTOR5-AS1	0
LAX1	0
LCE1A	0
LCE1B	0
LCE1D	0
LCE1E	0
LCE1F	0
LCE2A	0
LCE2B	0
LCE2C	0
LCE2D	0
LCE3B	0
LCE3C	0
LCE4A	0
LCE5A	0
LCE6A	0
LCK	0
LDLRAD2	0
LDLRAP1	4
LELP1	0
LEMD1-AS1	0
LENEP	0
LEPR	0
LEPROT	6
LGALS8	14
LGR6	1
LHX4	0
LHX8	4
LHX9	0
LIN28A	0
LINC00184	0
LINC00210	0
LINC00260	0
LINC00272	0
LINC00337	0
LINC00339	0
LINC00467	0
LINC00538	0
LINC00568	0
LINC00623	0
LINC00626	0
LINC00853	0
LINC00869	0
LINC01128	2
LINC01132	0
LINC01133	0
LINC01134	0
LINC01135	0
LINC01140	0
LINC01144	0
LINC01225	0
LINC01226	0
LINC01341	0
LINC01342	0
LINC01346	0
LINC01351	0
LINC01352	0
LINC01353	0
LINC01358	0
LINC01360	0
LIX1L	0
LMNA	0
LMO4	1
LOC100129046	0
LOC100129138	0
LOC100129620	0
LOC100129924	0
LOC100130093	0
LOC100130331	0
LOC100132057	0
LOC100132062	0
LOC100132111	0
LOC100132287	0
LOC100133331	0
LOC100147773	0
LOC100505887	0
LOC100506801	0
LOC100507564	0
LOC100507634	0
LOC100996583	0
LOC100996635	0
LOC101060524	0
LOC101926944	0
LOC101927164	0
LOC101927478	0
LOC101927604	0
LOC101927844	0
LOC101928009	0
LOC101928163	0
LOC101928303	0
LOC101928372	0
LOC101928404	0
LOC101928778	0
LOC101929181	0
LOC101929224	0
LOC101929441	0
LOC101929631	0
LOC101929983	0
LOC102606465	0
LOC103091866	0
LOC148413	0
LOC148696	0
LOC148709	1
LOC284581	0
LOC284632	0
LOC284648	0
LOC284661	0
LOC339529	0
LOC339539	0
LOC388692	0
LOC391003	0
LOC440700	0
LOC440704	0
LOC643355	0
LOC644961	0
LOC645166	0
LOC645354	0
LOC645382	0
LOC646626	0
LOC649324	0
LOC729970	0
LOC729987	0
LOC730159	0
LOR	0
LPHN2	0
LPPR4	0
LRIG2	0
LRRC42	1
LRRC52	0
LRRC7	0
LRRC71	0
LRRC8B	15
LRRC8C	0
LRRC8D	1
LURAP1	0
LY9	0
LYPLA2	0
LYPLAL1	0
MAB21L3	0
MACF1	0
MAEL	14
MAGI3	0
MAN1A2	4
MAN1C1	0
MANEAL	0
MAP10	0
MAP7D1	4
MAPKAPK2	5
MARC1	0
MARC2	0
MARK1	0
MAST2	0
MATN1-AS1	0
MDM4	9
MDS2	0
MED18	0
METTL11B	0
METTL13	0
MFN2	1
MFSD2A	1
MFSD4	1
MGAT4EP	0
MGC27382	0
MGC34796	0
MGST3	0
MIA3	8
MIB2	0
MIER1	1
MIIP	1
MINOS1	2
MINOS1-NBL1	0
MIR1231	0
MIR1278	0
MIR1295B	0
MIR197	0
MIR1976	0
MIR200A	0
MIR200B	0
MIR205	0
MIR205HG	0
MIR30C1	0
MIR30E	0
MIR3115	0
MIR3117	0
MIR3119-2	0
MIR3120	0
MIR3122	0
MIR3123	0
MIR3124	0
MIR320B1	0
MIR3620	0
MIR3658	0
MIR3659	0
MIR3675	0
MIR378F	0
MIR4251	0
MIR4255	0
MIR4257	0
MIR4258	0
MIR429	0
MIR4417	0
MIR4422	0
MIR4423	0
MIR4424	0
MIR4427	0
MIR4632	0
MIR4654	0
MIR4666A	0
MIR4671	0
MIR4677	0
MIR4684	0
MIR4781	0
MIR4794	0
MIR5187	0
MIR5191	0
MIR548AA1	0
MIR553	0
MIR554	0
MIR556	0
MIR557	0
MIR5584	0
MIR6077	0
MIR6079	0
MIR6084	0
MIR6729	0
MIR6732	0
MIR6735	0
MIR6736	0
MIR6739	0
MIR6740	0
MIR6769B	0
MIR6878	0
MIR7156	0
MIR760	0
MIR7846	0
MIR7852	0
MIR92B	0
MIR942	0
MIXL1	36
MKNK1-AS1	0
MLLT11	7
MMACHC	0
MMP23A	0
MMP23B	0
MNDA	0
MOV10	0
MPL	0
MPZL1	2
MR1	0
MROH7	0
MROH7-TTC4	2
MROH9	0
MRPL37	3
MRPS21	5
MRTO4	0
MSH4	0
MST1P2	0
MSTO1	0
MSTO2P	0
MTF2	26
MTFR1L	2
MTOR-AS1	0
MTR	4
MTX1	0
NASP	9
NAV1	1
NBL1	0
NBPF10	0
NBPF12	0
NBPF15	0
NBPF18P	0
NBPF20	0
NBPF25P	0
NBPF3	0
NBPF6	0
NBPF8	0
NBPF9	0
NCDN	0
NCMAP	0
NCSTN	1
NDUFS2	3
NDUFS5	0
NECAP2	7
NEK7	1
NENF	0
NEXN	0
NFASC	1
NFIA	0
NFYC	4
NHLH1	0
NIPAL3	1
NIT1	1
NLRP3	0
NMNAT1	0
NOS1AP	1
NOTCH2NL	1
NPL	3
NPPA-AS1	0
NPR1	0
NR5A2	1
NSUN4	0
NTNG1	0
NTPCR	0
NTRK1	0
NUDC	1
NUF2	18
OAZ3	0
OBSCN	0
OCLM	0
OLFML3	0
